,Nom_com
1108,Veuilly-la-Poterie
1109,Vézaponin
1110,Vézilly
1111,Vic-sur-Aisne
1113,Viel-Arcy
1114,Viels-Maisons
1115,Vierzy
1116,Viffort
1117,Vigneux-Hocquet
1118,La Ville-aux-Bois-lès-Dizy
1119,La Ville-aux-Bois-lès-Pontavert
1120,Villemontoire
1121,Villeneuve-Saint-Germain
1122,Villeneuve-sur-Fère
1123,Villequier-Aumont
1124,Villeret
1126,Villers-Hélon
1127,Villers-le-Sec
1128,Villers-lès-Guise
1129,Villers-Saint-Christophe
1130,Villers-sur-Fère
1132,Villiers-Saint-Denis
1133,Vincy-Reuil-et-Magny
1134,Viry-Noureuil
1135,Vivaise
1136,Vivières
1138,Vorges
1139,Voulpaix
1140,Voyenne
1143,Wassigny
1144,Watigny
1145,Wiège-Faty
1146,Wimy
1147,Wissignicourt
1148,Abrest
1149,Agonges
1150,Ainay-le-Château
1151,Andelaroche
1152,Archignat
1153,Arfeuilles
1154,Arpheuilles-Saint-Priest
1155,Arronnes
1156,Aubigny
1157,Audes
1158,Aurouër
1159,Autry-Issards
1160,Avermes
1161,Avrilly
1162,Bagneux
1163,Barberier
1164,Barrais-Bussolles
1165,Bayet
1166,Beaulon
1167,Beaune-d'Allier
1168,Bègues
1169,Bellenaves
1170,Bellerive-sur-Allier
1171,Bert
1172,Bessay-sur-Allier
1173,Besson
1174,Bézenet
1175,Billezois
1176,Billy
1177,Biozat
1178,Bizeneuille
1179,Blomard
1180,Bost
1181,Boucé
1182,Le Bouchaud
1183,Bourbon-l'Archambault
1184,Braize
1185,Bransat
1186,Bresnay
1187,Bressolles
1188,Le Brethon
1189,Le Breuil
1190,Broût-Vernet
1191,Brugheas
1192,Busset
1193,Buxières-les-Mines
1194,La Celle
1195,Cérilly
1196,Cesset
1197,La Chabanne
1198,Chambérat
1199,Chamblet
1200,Chantelle
1201,Chapeau
1202,La Chapelaude
1203,La Chapelle
1204,La Chapelle-aux-Chasses
1205,Chappes
1206,Chareil-Cintrat
1207,Charmeil
1208,Charmes
1209,Charroux
1210,Chassenard
1211,Château-sur-Allier
1212,Châtel-de-Neuvre
1213,Châtel-Montagne
1214,Châtelperron
1215,Châtelus
1216,Châtillon
1217,Chavenon
1218,Chavroches
1219,Chazemais
1220,Chemilly
1221,Chevagnes
1222,Chezelle
1223,Chézy
1224,Chirat-l'Église
1225,Chouvigny
1226,Cindré
1227,Cognat-Lyonne
1228,Colombier
1229,Commentry
1230,Contigny
1231,Cosne-d'Allier
1232,Coulandon
1233,Coulanges
1234,Couleuvre
1235,Courçais
1236,Coutansouze
1237,Couzon
1238,Créchy
1239,Cressanges
1240,Creuzier-le-Neuf
1241,Creuzier-le-Vieux
1242,Cusset
1244,Deneuille-les-Mines
1245,Désertines
1246,Deux-Chaises
1247,Diou
1248,Domérat
1249,Dompierre-sur-Besbre
1250,Le Donjon
1251,Doyet
1252,Droiturier
1253,Durdat-Larequille
1254,Ébreuil
1255,Échassières
1256,Escurolles
1257,Espinasse-Vozelle
1258,Estivareilles
1259,Étroussat
1260,Ferrières-sur-Sichon
1261,La Ferté-Hauterive
1262,Fleuriel
1263,Fourilles
1264,Franchesse
1265,Gannat
1266,Gannay-sur-Loire
1267,Garnat-sur-Engièvre
1268,Gennetines
1269,Gipcy
1270,Gouise
1271,La Guillermie
1272,Hauterive
1273,Hérisson
1274,Huriel
1275,Hyds
1276,Isle-et-Bardais
1277,Isserpent
1278,Jaligny-sur-Besbre
1279,Jenzat
1280,Laféline
1281,Lalizolle
1282,Lamaids
1283,Langy
1284,Lapalisse
1285,Laprugne
1286,Lavault-Sainte-Anne
1287,Lavoine
1288,Lenax
1289,Lételon
1290,Liernolles
1291,Lignerolles
1292,Limoise
1293,Loddes
1294,Loriges
1295,Louchy-Montfand
1296,Louroux-Bourbonnais
1297,Louroux-de-Beaune
1298,Louroux-de-Bouble
1299,Luneau
1300,Lurcy-Lévis
1301,Lusigny
1302,Magnet
1303,Malicorne
1304,Marcenat
1305,Marcillat-en-Combraille
1306,Marigny
1307,Mariol
1308,Le Mayet-d'École
1309,Le Mayet-de-Montagne
1310,Mazerier
1311,Mazirat
1312,Meaulne-Vitray
1313,Meillard
1314,Meillers
1315,Mercy
1316,Mesples
1317,Molinet
1318,Molles
1319,Monestier
1320,Monétay-sur-Allier
1321,Monétay-sur-Loire
1322,Montaiguët-en-Forez
1323,Montaigu-le-Blin
1324,Montbeugny
1325,Montcombroux-les-Mines
1326,Monteignet-sur-l'Andelot
1327,Le Montet
1328,Montilly
1329,Montluçon
1330,Montmarault
1331,Montoldre
1332,Montord
1333,Montvicq
1334,Moulins
1335,Murat
1336,Nades
1337,Nassigny
1338,Naves
1339,Néris-les-Bains
1340,Neuilly-en-Donjon
1341,Neuilly-le-Réal
1342,Neure
1343,Neuvy
1344,Nizerolles
1345,Noyant-d'Allier
1346,Paray-le-Frésil
1347,Paray-sous-Briailles
1348,Périgny
1349,La Petite-Marche
1350,Pierrefitte-sur-Loire
1351,Le Pin
1352,Poëzat
1353,Pouzy-Mésangy
1354,Prémilhat
1355,Quinssaines
1356,Reugny
1357,Rocles
1358,Rongères
1359,Ronnet
1360,Saint-Angel
1361,Saint-Aubin-le-Monial
1362,Saint-Bonnet-de-Four
1363,Saint-Bonnet-de-Rochefort
1364,Saint-Bonnet-Tronçais
1366,Saint-Christophe
1367,Saint-Clément
1368,Saint-Désiré
1369,Saint-Didier-en-Donjon
1370,Saint-Didier-la-Forêt
1372,Saint-Ennemond
1373,Saint-Étienne-de-Vicq
1374,Saint-Fargeol
1375,Saint-Félix
1376,Saint-Genest
1377,Saint-Gérand-de-Vaux
1378,Saint-Gérand-le-Puy
1379,Saint-Germain-des-Fossés
1380,Saint-Germain-de-Salles
1381,Saint-Hilaire
1382,Saint-Léger-sur-Vouzance
1383,Saint-Léon
1384,Saint-Léopardin-d'Augy
1385,Saint-Loup
1386,Saint-Marcel-en-Murat
1387,Saint-Marcel-en-Marcillat
1388,Saint-Martin-des-Lais
1389,Saint-Martinien
1390,Saint-Menoux
1391,Saint-Nicolas-des-Biefs
1392,Saint-Palais
1393,Saint-Pierre-Laval
1394,Saint-Plaisir
1395,Saint-Pont
1396,Saint-Pourçain-sur-Besbre
1397,Saint-Pourçain-sur-Sioule
1398,Saint-Priest-d'Andelot
1399,Saint-Priest-en-Murat
1400,Saint-Prix
1401,Saint-Rémy-en-Rollat
1402,Saint-Sauvier
1403,Saint-Sornin
1404,Sainte-Thérence
1405,Saint-Victor
1406,Saint-Voir
1407,Saint-Yorre
1408,Saligny-sur-Roudon
1409,Sanssat
1410,Saulcet
1411,Saulzet
1413,Sazeret
1414,Serbannes
