SIRSé; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune et arrondissement; ; ; ; ; ; ; ; ; 
Code;Libellé;Population des moins de 18 ans 2016;Nombre de chômeurs chez les 15-64 ans (RP) 2016;Nombre de chômeurs chez les 15-24 ans (RP) 2016;Nombre de résidences principales en HLM 2016;Revenu fiscal médian 2016;Population des 65 ans ou plus 2016;Taux de natalité 2016;Population municipale 2016
01378;Saint-Maurice-de-Gourdans;643;66;17;1;25540;363;11;2537
01379;Saint-Maurice-de-Rémens;199;34;4;19;20946;107;10.6;752
01380;Saint-Nizier-le-Bouchoux;175;26;5;14;19956;155;10.2;683
01381;Saint-Nizier-le-Désert;266;32;7;17;21148;106;12;914
01382;Sainte-Olive;70;7;1;0;24970;51;0;284
01383;Saint-Paul-de-Varax;396;63;18;94;20510;248;18;1502
01384;Saint-Rambert-en-Bugey;563;189;52;164;17546;453;13.4;2310
01385;Saint-Rémy;228;32;6;60;23990;168;10;999
01386;Saint-Sorlin-en-Bugey;276;55;26;2;24556;176;6.1;1150
01387;Saint-Sulpice;81;5;1;0;21334;23;28.3;247
01388;Saint-Trivier-de-Courtes;198;54;18;87;17998;368;9.1;1095
01389;Saint-Trivier-sur-Moignans;408;81;18;40;21584;348;12.1;1822
01390;Saint-Vulbas;326;57;9;1;21951;192;13;1306
01391;Salavre;45;5;1;0;21992;89;3.6;279
01392;Samognat;160;22;6;0;24586;91;6.1;657
01393;Sandrans;150;18;6;5;22344;64;9.5;526
01396;Sault-Brénaz;210;70;9;68;19068;207;11.5;960
01397;Sauverny;230;58;12;91;40578;156;6.8;1025
01398;Savigneux;363;50;7;27;23514;154;15.8;1333
01399;Ségny;507;89;16;59;41277;249;8.9;2016
01400;Seillonnaz;25;11;3;0;19540;31;7.2;138
01401;Sergy;589;84;11;60;41070;243;9.3;2045
01402;Sermoyer;146;28;2;12;19556;154;5.9;678
01403;Serrières-de-Briord;326;84;18;57;19268;239;7.9;1262
01404;Serrières-sur-Ain;22;14;0;0;20326;35;0;131
01405;Servas;350;63;14;67;19730;145;16.1;1241
01406;Servignat;36;10;2;6;19120;38;17.1;175
01407;Seyssel;251;58;10;47;21890;155;11;997
01408;Simandre-sur-Suran;166;45;11;8;21366;120;5.9;677
01410;Sonthonnax-la-Montagne;83;8;3;3;25466;30;6.3;318
01411;Souclin;66;9;3;0;21444;51;11.2;268
01412;Sulignat;147;29;8;14;22518;87;5.2;577
01415;Talissieu;94;25;1;0;21884;85;15.6;448
01416;Tenay;220;85;10;34;16789;263;8.6;1044
01418;Thil;259;33;6;10;29890;160;6.5;1072
01419;Thoiry;1574;292;38;332;34736;691;8.2;6094
01420;Thoissey;346;107;38;241;17832;460;8.7;1725
01421;Torcieu;151;40;8;11;21734;108;8.3;725
01422;Tossiat;316;43;7;26;23878;256;12.4;1366
01423;Toussieux;277;40;14;23;25254;101;17;1002
01424;Tramoyes;380;53;16;25;29810;229;8.4;1664
01425;La Tranclière;61;8;3;0;22362;61;6.9;289
01426;Val-Revermont;635;124;26;69;21406;416;10.1;2581
01427;Trévoux;1743;378;100;653;21067;921;14.5;6849
01428;Valeins;45;3;0;0;22850;20;7.6;131
01429;Vandeins;176;25;4;19;21568;106;5.8;685
01430;Varambon;121;30;6;1;21180;75;15.1;531
01431;Vaux-en-Bugey;295;45;9;25;23028;224;10.6;1228
01432;Verjon;66;16;5;10;21152;54;21.6;278
01433;Vernoux;94;12;2;4;17952;31;3.1;324
01434;Versailleux;101;21;8;14;23934;68;11.9;421
